                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4611,                 3.2541,                0.95572,                0.00447,                      1,                0.56032,                0.50923,                0.26666,                 3.2335,                0.72073,             0.00010002,             0.00010002,             0.00010002
                      2,                0.61966,                 2.8516,                 1.0699,                0.00425,                      1,                 0.6482,                0.58703,                0.38174,                 2.8922,                0.80343,             0.00021456,             0.00021456,             0.00021456
                      3,                0.44879,                  1.855,                0.90858,                 0.4375,                      1,                0.82702,                0.77237,                0.34682,                 2.5508,                0.75565,              0.0003268,              0.0003268,              0.0003268
                      4,                 0.4845,                 1.8227,                0.91828,                 0.9229,                0.71841,                0.90611,                0.86955,                0.33572,                 2.2568,                0.75462,             0.00043672,             0.00043672,             0.00043672
                      5,                0.49219,                 1.4474,                0.85259,                0.99794,                0.99817,                  0.995,                  0.922,                0.40632,                 2.1359,                0.77615,             0.00054434,             0.00054434,             0.00054434
                      6,                0.51256,                 1.1762,                0.87884,                0.97492,                0.98897,                  0.995,                 0.8889,                0.48444,                 1.6316,                 0.7937,             0.00064964,             0.00064964,             0.00064964
                      7,                0.53718,                 1.1409,                0.86496,                0.98869,                 0.9891,                  0.995,                0.90585,                0.45662,                 1.5476,                0.78975,             0.00075263,             0.00075263,             0.00075263
                      8,                0.52371,                 1.2652,                0.88712,                0.96643,                      1,                  0.995,                0.90208,                0.44163,                 1.4859,                0.78817,             0.00085331,             0.00085331,             0.00085331
                      9,                0.49793,                 1.4068,                0.91799,                0.97265,                0.95973,                  0.995,                0.87231,                0.50992,                  1.642,                0.80952,             0.00095168,             0.00095168,             0.00095168
                     10,                0.53605,                  1.318,                  0.906,                0.99057,                0.79122,                  0.955,                0.84975,                0.50576,                 1.7126,                 0.8096,              0.0010477,              0.0010477,              0.0010477
                     11,                0.64922,                 1.4041,                0.94557,                0.90803,                0.90521,                0.94883,                0.83673,                0.53043,                 1.3514,                0.80649,              0.0011415,              0.0011415,              0.0011415
                     12,                0.56247,                 1.3336,                0.91921,                0.98406,                      1,                  0.995,                0.88553,                0.50883,                 1.4981,                0.80824,              0.0012329,              0.0012329,              0.0012329
                     13,                0.64176,                 1.4944,                0.97405,                0.90919,                      1,                  0.995,                0.89574,                 0.5074,                 1.6752,                 0.8253,              0.0013221,              0.0013221,              0.0013221
                     14,                0.57903,                 1.1124,                0.88753,                0.90919,                      1,                  0.995,                0.89574,                 0.5074,                 1.6752,                 0.8253,              0.0014089,              0.0014089,              0.0014089
                     15,                0.51688,                  2.193,                0.77182,                0.93472,                0.87986,                0.98357,                0.83474,                0.55971,                 1.8177,                0.84981,               0.001436,               0.001436,               0.001436
                     16,                0.67324,                  1.224,                0.95137,                      1,                0.98664,                  0.995,                0.81638,                0.68487,                  1.508,                0.87245,               0.001436,               0.001436,               0.001436
                     17,                0.75445,                 1.2849,                0.97507,                0.88169,                0.98195,                  0.995,                0.87061,                0.59368,                 1.2895,                0.82708,              0.0014195,              0.0014195,              0.0014195
                     18,                0.61018,                 1.0915,                0.92589,                0.98343,                      1,                  0.995,                0.86366,                0.54092,                 1.2783,                0.81814,              0.0014029,              0.0014029,              0.0014029
                     19,                0.54243,                 1.1031,                0.90035,                      1,                0.94751,                  0.995,                0.88608,                0.50689,                 1.2698,                0.82332,              0.0013864,              0.0013864,              0.0013864
                     20,                0.51259,                 1.1424,                0.84861,                0.96443,                0.91442,                0.98357,                0.89443,                0.50595,                 1.1394,                0.81163,              0.0013699,              0.0013699,              0.0013699
                     21,                0.49704,                 1.0269,                 0.8934,                0.98409,                0.83843,                  0.995,                0.92936,                0.46821,                 1.2597,                 0.7854,              0.0013534,              0.0013534,              0.0013534
                     22,                0.44572,                0.97552,                0.86093,                0.98409,                0.83843,                  0.995,                0.92936,                0.46821,                 1.2597,                 0.7854,              0.0013369,              0.0013369,              0.0013369
                     23,                0.46967,                 1.0006,                0.89194,                  0.983,                0.83814,                  0.995,                0.89618,                0.48583,                  1.309,                0.78432,              0.0013204,              0.0013204,              0.0013204
                     24,                0.58855,                 1.0612,                0.92952,                0.97995,                0.83847,                  0.995,                0.90729,                0.49282,                 1.2262,                0.78826,              0.0013039,              0.0013039,              0.0013039
